method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Random,15,49,160478.11799114087,90.33,3,1,9
Random,15,50,140076.37170700572,78.84,3,1,9
Random,15,51,135605.67061899873,76.33,6,0,9
Uniform Latency,15,42,143205.75432686583,80.6,5,0,9
Uniform Latency,15,43,158586.39862473533,89.26,5,1,9
Uniform Latency,15,44,160484.73923817996,90.33,3,2,9
Uniform Latency,15,45,161706.7135515156,91.02,4,1,9
Uniform Latency,15,46,161040.87741160614,90.64,4,1,9
Uniform Latency,15,47,151181.34912519957,85.09,5,0,9
Uniform Latency,15,48,155941.42114044604,87.77,5,1,9
Uniform Latency,15,49,161015.93292867448,90.63,4,1,9
Uniform Latency,15,50,167421.30734210677,94.23,4,2,9
Uniform Latency,15,51,164839.43893432943,92.78,4,3,9
Largest-N,15,42,134028.43414939084,75.44,6,1,9
Largest-N,15,43,134028.43414939084,75.44,6,1,9
Largest-N,15,44,134028.43414939084,75.44,6,1,9
Largest-N,15,45,134028.43414939084,75.44,6,1,9
Largest-N,15,46,134028.43414939084,75.44,6,1,9
Largest-N,15,47,134028.43414939084,75.44,6,1,9
Largest-N,15,48,134028.43414939084,75.44,6,1,9
Largest-N,15,49,134028.43414939084,75.44,6,1,9
Largest-N,15,50,134028.43414939084,75.44,6,1,9
Largest-N,15,51,134028.43414939084,75.44,6,1,9
Smallest-N,15,42,152571.79083222587,85.88,2,2,9
Smallest-N,15,43,152571.79083222587,85.88,2,2,9
Smallest-N,15,44,152571.79083222587,85.88,2,2,9
Smallest-N,15,45,152571.79083222587,85.88,2,2,9
Smallest-N,15,46,152571.79083222587,85.88,2,2,9
Smallest-N,15,47,152571.79083222587,85.88,2,2,9
Smallest-N,15,48,152571.79083222587,85.88,2,2,9
Smallest-N,15,49,152571.79083222587,85.88,2,2,9
Smallest-N,15,50,152571.79083222587,85.88,2,2,9
Smallest-N,15,51,152571.79083222587,85.88,2,2,9
Ours (Metadata-Only Maximin),20,42,166118.55382909637,93.5,6,2,9
Ours (Metadata-Only Maximin),20,43,173998.04519661213,97.94,6,2,9
Ours (Metadata-Only Maximin),20,44,176119.5846870408,99.13,5,4,9
Ours (Metadata-Only Maximin),20,45,174690.22565975212,98.32,6,1,9
Ours (Metadata-Only Maximin),20,46,173998.04519661213,97.94,6,2,9
Ours (Metadata-Only Maximin),20,47,169782.0687589144,95.56,6,2,9
Ours (Metadata-Only Maximin),20,48,164765.28272198228,92.74,7,1,9
Ours (Metadata-Only Maximin),20,49,172937.65126563897,97.34,4,2,9
Ours (Metadata-Only Maximin),20,50,173200.88757789746,97.49,7,2,9
Ours (Metadata-Only Maximin),20,51,174795.53633773525,98.38,4,2,9
"Combined (lw=5, fw=3)",20,42,161404.69447951284,90.85,6,1,9
"Combined (lw=5, fw=3)",20,43,173802.2548125793,97.82,5,2,9
"Combined (lw=5, fw=3)",20,44,176119.5846870408,99.13,5,4,9
"Combined (lw=5, fw=3)",20,45,176267.62022494618,99.21,5,3,9
"Combined (lw=5, fw=3)",20,46,173828.87443489552,97.84,6,2,9
"Combined (lw=5, fw=3)",20,47,169782.0687589144,95.56,6,2,9
"Combined (lw=5, fw=3)",20,48,160203.1816538815,90.17,8,0,9
