method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Random,12,50,153190.2318205566,86.22330735595533,4,2,9
Random,12,51,135552.80166908252,76.29605845211451,6,0,9
Uniform Latency,12,42,134670.93086667554,75.7996964038264,4,0,9
Uniform Latency,12,43,137735.20673082734,77.52442778204957,7,0,9
Uniform Latency,12,44,161281.43924520776,90.77745324610383,3,2,9
Uniform Latency,12,45,171306.84761499608,96.42026647880259,2,1,9
Uniform Latency,12,46,148347.48180359596,83.49755964868916,4,0,9
Uniform Latency,12,47,153602.87459252827,86.45556383949929,3,0,9
Uniform Latency,12,48,150058.4798980694,84.4605969966452,5,0,9
Uniform Latency,12,49,160836.54583697367,90.52704445291303,6,1,9
Uniform Latency,12,50,132537.92884551524,74.59913363506703,7,0,9
Uniform Latency,12,51,152174.9431456372,85.65185089667442,4,0,9
Largest-N,12,42,125084.49447307417,70.4039590791252,5,1,9
Largest-N,12,43,125084.49447307417,70.4039590791252,5,1,9
Largest-N,12,44,125084.49447307417,70.4039590791252,5,1,9
Largest-N,12,45,125084.49447307417,70.4039590791252,5,1,9
Largest-N,12,46,125084.49447307417,70.4039590791252,5,1,9
Largest-N,12,47,125084.49447307417,70.4039590791252,5,1,9
Largest-N,12,48,125084.49447307417,70.4039590791252,5,1,9
Largest-N,12,49,125084.49447307417,70.4039590791252,5,1,9
Largest-N,12,50,125084.49447307417,70.4039590791252,5,1,9
Largest-N,12,51,125084.49447307417,70.4039590791252,5,1,9
Pareto Search (Ours),15,42,161336.07017141825,90.80820232903038,5,1,9
Pareto Search (Ours),15,43,173408.57994656905,97.60322906493822,4,2,9
Pareto Search (Ours),15,44,174493.4864645079,98.2138700114073,4,4,9
Pareto Search (Ours),15,45,176267.62022494618,99.21244334535221,5,3,9
Pareto Search (Ours),15,46,173469.32618265704,97.63742015742947,5,2,9
Pareto Search (Ours),15,47,169782.0687589144,95.56204285451958,6,2,9
Pareto Search (Ours),15,48,159512.6428107002,89.78188403251775,6,0,9
Pareto Search (Ours),15,49,173571.24401532393,97.69478473287697,4,3,9
Pareto Search (Ours),15,50,171968.10395832267,96.79245541183136,4,1,9
Pareto Search (Ours),15,51,174795.53633773525,98.38387914806437,4,2,9
Metadata-Only Maximin,15,42,166049.9295210018,93.46140376819254,5,2,9
Metadata-Only Maximin,15,43,173408.57994656905,97.60322906493822,4,2,9
Metadata-Only Maximin,15,44,174493.4864645079,98.2138700114073,4,4,9
Metadata-Only Maximin,15,45,174509.419233681,98.22283778981664,5,1,9
Metadata-Only Maximin,15,46,173469.32618265704,97.63742015742947,5,2,9
Metadata-Only Maximin,15,47,169782.0687589144,95.56204285451958,6,2,9
Metadata-Only Maximin,15,48,164271.55293714112,92.46044235595011,5,1,9
Metadata-Only Maximin,15,49,172783.9600609295,97.25166100645244,3,2,9
Metadata-Only Maximin,15,50,171968.10395832267,96.79245541183136,4,1,9
Metadata-Only Maximin,15,51,174795.53633773525,98.38387914806437,4,2,9
Latency-Only Spacing,15,42,152745.8882458518,85.97320803723183,3,2,9
Latency-Only Spacing,15,43,163477.54474928952,92.01353388658718,5,1,9
Latency-Only Spacing,15,44,159904.2096925434,90.00227792579892,4,1,9
Latency-Only Spacing,15,45,165204.43550495998,92.9855164381297,4,1,9
Latency-Only Spacing,15,46,163477.54474928952,92.01353388658718,5,1,9
Latency-Only Spacing,15,47,146242.60756492335,82.31282863634046,3,1,9
Latency-Only Spacing,15,48,141832.13355077858,79.83038800035712,4,2,9
Latency-Only Spacing,15,49,160117.26041889645,90.12219378493978,4,1,9
Latency-Only Spacing,15,50,159043.42413126052,89.5177837309928,5,1,9
Latency-Only Spacing,15,51,163477.54474928952,92.01353388658718,5,1,9
Random,15,42,152067.68872161454,85.5914826143245,4,2,9
Random,15,43,164161.75112340966,92.39864027221998,5,2,9
Random,15,44,158164.9258664159,89.0233199195528,3,1,9
Random,15,45,158828.50705696328,89.39681739565309,7,0,9
Random,15,46,150053.62656790527,84.45786529388928,4,0,9
Random,15,47,166297.87064727454,93.60095773114912,6,2,9
Random,15,48,163688.64691600087,92.13235299657576,7,1,9
Random,15,49,160478.11799114087,90.32530290615189,3,1,9
Random,15,50,140076.37170700572,78.84215532193922,3,1,9
Random,15,51,135605.67061899873,76.32581580455164,6,0,9
Uniform Latency,15,42,143205.75432686583,80.60353211639861,5,0,9
Uniform Latency,15,43,158586.39862473533,89.26054637159778,5,1,9
Uniform Latency,15,44,160484.73923817996,90.32902968306024,3,2,9
Uniform Latency,15,45,161706.7135515156,91.01681940403435,4,1,9
Uniform Latency,15,46,161040.87741160614,90.64205272695689,4,1,9
Uniform Latency,15,47,151181.34912519957,85.09260529992133,5,0,9
Uniform Latency,15,48,155941.42114044604,87.77181759387388,5,1,9
Uniform Latency,15,49,161015.93292867448,90.62801269455343,4,1,9
Uniform Latency,15,50,167421.30734210677,94.23328543430807,4,2,9
Uniform Latency,15,51,164839.43893432943,92.78007767666733,4,3,9
Largest-N,15,42,134028.43414939084,75.43806634901637,6,1,9
Largest-N,15,43,134028.43414939084,75.43806634901637,6,1,9
Largest-N,15,44,134028.43414939084,75.43806634901637,6,1,9
Largest-N,15,45,134028.43414939084,75.43806634901637,6,1,9
Largest-N,15,46,134028.43414939084,75.43806634901637,6,1,9
Largest-N,15,47,134028.43414939084,75.43806634901637,6,1,9
Largest-N,15,48,134028.43414939084,75.43806634901637,6,1,9
Largest-N,15,49,134028.43414939084,75.43806634901637,6,1,9
Largest-N,15,50,134028.43414939084,75.43806634901637,6,1,9
Largest-N,15,51,134028.43414939084,75.43806634901637,6,1,9
Pareto Search (Ours),20,42,161404.69447951284,90.84682760388382,6,1,9
Pareto Search (Ours),20,43,173802.2548125793,97.82480943965871,5,2,9
Pareto Search (Ours),20,44,176119.5846870408,99.12912136370412,5,4,9
